"DRD370JQ.Code.or.Value","DRD370JQ.Value.Description","DRD370JQ.Count","DRD370JQ.Cumulative","DRD370JQ.Skip.to.Item"
"1 to 5","Range of Values",7,7,NA
".","Missing",8697,8704,NA
