"WTSPO06.Code.or.Value","WTSPO06.Value.Description","WTSPO06.Count","WTSPO06.Cumulative","WTSPO06.Skip.to.Item"
"0.0000000 to 845222.5945800","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
