"OHX31LAA.Code.or.Value","OHX31LAA.Value.Description","OHX31LAA.Count","OHX31LAA.Cumulative","OHX31LAA.Skip.to.Item"
"0 to 9","Range of Values",2473,2473,NA
"99","Cannot be assessed",1536,4009,NA
".","Missing",660,4669,NA
