"DX2RLPF.Code.or.Value","DX2RLPF.Value.Description","DX2RLPF.Count","DX2RLPF.Cumulative","DX2RLPF.Skip.to.Item"
"11.8 to 59.2","Range of Values",466,466,NA
".","Missing",19,485,NA
