"ORXH61.Code.or.Value","ORXH61.Value.Description","ORXH61.Count","ORXH61.Cumulative","ORXH61.Skip.to.Item"
"1","Positive",23,23,NA
"2","Negative",4523,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
