"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.28 to 2170","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
