"WTSPH07.Code.or.Value","WTSPH07.Value.Description","WTSPH07.Count","WTSPH07.Cumulative","WTSPH07.Skip.to.Item"
"0 to 768135.8023","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
