"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"0.7071 to 81.21","Range of Values",265,265,NA
".","Missing",0,265,NA
