"LEXLPTS2.Code.or.Value","LEXLPTS2.Value.Description","LEXLPTS2.Count","LEXLPTS2.Cumulative","LEXLPTS2.Skip.to.Item"
"65 to 230","Range of Values",964,964,NA
".","Missing",2122,3086,NA
