"TYXA148.Code.or.Value","TYXA148.Value.Description","TYXA148.Count","TYXA148.Cumulative","TYXA148.Skip.to.Item"
"0.09 to 6.435","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
