"RXQ525U.Code.or.Value","RXQ525U.Value.Description","RXQ525U.Count","RXQ525U.Cumulative","RXQ525U.Skip.to.Item"
"1","Per day",28,28,NA
"2","Per week",91,119,NA
"9","Don't know",2,121,NA
".","Missing",3761,3882,NA
