"VIQ051A.Code.or.Value","VIQ051A.Value.Description","VIQ051A.Count","VIQ051A.Cumulative","VIQ051A.Skip.to.Item"
"1","No difficulty",4454,4454,NA
"2","A little difficulty",842,5296,NA
"3","Moderate difficulty",321,5617,NA
"4","Extreme difficulty",138,5755,NA
"5","Unable to do because of eyesight",74,5829,NA
"6","Does not do this for other reasons",95,5924,NA
"77","Refused",0,5924,NA
"99","Don't know",3,5927,NA
".","Missing",1246,7173,NA
