"WBXP093.Code.or.Value","WBXP093.Value.Description","WBXP093.Count","WBXP093.Cumulative","WBXP093.Skip.to.Item"
"-155.2055 to 148.7524","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
