"SSQ020d.Code.or.Value","SSQ020d.Value.Description","SSQ020d.Count","SSQ020d.Cumulative","SSQ020d.Skip.to.Item"
"13","Sister/brother",242,242,NA
".","Missing",1592,1834,NA
