"WBXF093.Code.or.Value","WBXF093.Value.Description","WBXF093.Count","WBXF093.Cumulative","WBXF093.Skip.to.Item"
"5339.3594 to 5339.3594","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
