"URXDAZ.Code.or.Value","URXDAZ.Value.Description","URXDAZ.Count","URXDAZ.Cumulative","URXDAZ.Skip.to.Item"
"0.3 to 33800","Range of Values",2792,2792,NA
".","Missing",149,2941,NA
