"URDMOHLC.Code.or.Value","URDMOHLC.Value.Description","URDMOHLC.Count","URDMOHLC.Cumulative","URDMOHLC.Skip.to.Item"
"0","At or above the detection limit",2739,2739,NA
"1","Below lower detection limit",23,2762,NA
".","Missing",224,2986,NA
