"BIXC159K.Code.or.Value","BIXC159K.Value.Description","BIXC159K.Count","BIXC159K.Cumulative","BIXC159K.Skip.to.Item"
"26.8 to 105.64","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
