"URXUBA.Code.or.Value","URXUBA.Value.Description","URXUBA.Count","URXUBA.Cumulative","URXUBA.Skip.to.Item"
"0.042 to 69.38","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
