"LBXEST.Code.or.Value","LBXEST.Value.Description","LBXEST.Count","LBXEST.Cumulative","LBXEST.Skip.to.Item"
"2.114 to 14000","Range of Values",7150,7150,NA
".","Missing",871,8021,NA
