"BIXC273K.Code.or.Value","BIXC273K.Value.Description","BIXC273K.Count","BIXC273K.Cumulative","BIXC273K.Skip.to.Item"
"23.17 to 106.03","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
