"DMDHHSZB.Code.or.Value","DMDHHSZB.Value.Description","DMDHHSZB.Count","DMDHHSZB.Cumulative","DMDHHSZB.Skip.to.Item"
"0","0",4772,4772,NA
"1","1",1902,6674,NA
"2","2",1511,8185,NA
"3","3 or more",1069,9254,NA
".","Missing",0,9254,NA
