"SSMTNMSG.Code.or.Value","SSMTNMSG.Value.Description","SSMTNMSG.Count","SSMTNMSG.Cumulative","SSMTNMSG.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
