"WTSHM28.Code.or.Value","WTSHM28.Value.Description","WTSHM28.Count","WTSHM28.Cumulative","WTSHM28.Skip.to.Item"
"0.0000000 to 765101.3745500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
