"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.14 to 4.43","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
