"URXCOXT.Code.or.Value","URXCOXT.Value.Description","URXCOXT.Count","URXCOXT.Cumulative","URXCOXT.Skip.to.Item"
"1.43 to 3430","Range of Values",548,548,NA
".","Missing",2431,2979,NA
