"WBXP026.Code.or.Value","WBXP026.Value.Description","WBXP026.Count","WBXP026.Cumulative","WBXP026.Skip.to.Item"
"-30.0605 to 155.1774","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
