"WTSPP02.Code.or.Value","WTSPP02.Value.Description","WTSPP02.Count","WTSPP02.Cumulative","WTSPP02.Skip.to.Item"
"0 to 831743.14358","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
