"SPQ040.Code.or.Value","SPQ040.Value.Description","SPQ040.Count","SPQ040.Cumulative","SPQ040.Skip.to.Item"
"1","Yes",1043,1043,""
"2","No",6013,7056,"SPQ060"
"7","Refused",0,7056,""
"9","Don't know",1,7057,""
".","Missing",438,7495,""
