"LB2NENO.Code.or.Value","LB2NENO.Value.Description","LB2NENO.Count","LB2NENO.Cumulative","LB2NENO.Skip.to.Item"
"0.9 to 12","Range of Values",551,551,NA
".","Missing",6,557,NA
