"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"636.7 to 10240.2","Range of Values",4052,4052,NA
".","Missing",1062,5114,NA
