"LBDSGLSI.Code.or.Value","LBDSGLSI.Value.Description","LBDSGLSI.Count","LBDSGLSI.Cumulative","LBDSGLSI.Skip.to.Item"
"2.61 to 34.75","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
