"DXXPT61Y.Code.or.Value","DXXPT61Y.Value.Description","DXXPT61Y.Count","DXXPT61Y.Cumulative","DXXPT61Y.Skip.to.Item"
"101 to 312.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
