"INQ080.Code.or.Value","INQ080.Value.Description","INQ080.Count","INQ080.Cumulative","INQ080.Skip.to.Item"
"1","Yes",1102,1102,NA
"2","No",7620,8722,NA
"7","Refused",25,8747,NA
"9","Don't know",33,8780,NA
".","Missing",474,9254,NA
