"WTSAU50.Code.or.Value","WTSAU50.Value.Description","WTSAU50.Count","WTSAU50.Cumulative","WTSAU50.Skip.to.Item"
"0 to 477586.8412","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
