"URDTRSLC.Code.or.Value","URDTRSLC.Value.Description","URDTRSLC.Count","URDTRSLC.Cumulative","URDTRSLC.Skip.to.Item"
"0","At or above the detection limit",1739,1739,NA
"1","Below lower detection limit",912,2651,NA
".","Missing",152,2803,NA
