"TYXA150.Code.or.Value","TYXA150.Value.Description","TYXA150.Count","TYXA150.Cumulative","TYXA150.Skip.to.Item"
"0.09 to 6.441","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
