"CIQP13K.Code.or.Value","CIQP13K.Value.Description","CIQP13K.Count","CIQP13K.Cumulative","CIQP13K.Skip.to.Item"
"1","Yes",21,21,NA
"2","No",86,107,NA
"7","Refused",0,107,NA
"9","Don't know",1,108,NA
".","Missing",742,850,NA
