"WTBSMSMA.Code.or.Value","WTBSMSMA.Value.Description","WTBSMSMA.Count","WTBSMSMA.Cumulative","WTBSMSMA.Skip.to.Item"
"76267.962358 to 5538542.202","Range of Values",265,265,NA
".","Missing",0,265,NA
