"SSDFSE.Code.or.Value","SSDFSE.Value.Description","SSDFSE.Count","SSDFSE.Cumulative","SSDFSE.Skip.to.Item"
"0.16 to 159.42","Range of Values",182,182,NA
".","Missing",0,182,NA
