"TYXA198.Code.or.Value","TYXA198.Value.Description","TYXA198.Count","TYXA198.Cumulative","TYXA198.Skip.to.Item"
"0.09 to 5.448","Range of Values",427,427,NA
".","Missing",5158,5585,NA
