"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"10 to 2684","Range of Values",2834,2834,NA
".","Missing",202,3036,NA
