"DS1ITFAT.Code.or.Value","DS1ITFAT.Value.Description","DS1ITFAT.Count","DS1ITFAT.Cumulative","DS1ITFAT.Skip.to.Item"
"0.02 to 27","Range of Values",562,562,NA
".","Missing",5506,6068,NA
