"DX2RLFAT.Code.or.Value","DX2RLFAT.Value.Description","DX2RLFAT.Count","DX2RLFAT.Cumulative","DX2RLFAT.Skip.to.Item"
"962.7 to 17525","Range of Values",466,466,NA
".","Missing",19,485,NA
