"LBXTPO.Code.or.Value","LBXTPO.Value.Description","LBXTPO.Count","LBXTPO.Cumulative","LBXTPO.Skip.to.Item"
"0.18 to 991.4","Range of Values",1953,1953,NA
".","Missing",224,2177,NA
