"TBQ060.Code.or.Value","TBQ060.Value.Description","TBQ060.Count","TBQ060.Cumulative","TBQ060.Skip.to.Item"
"1","Yes",226,226,NA
"2","No",7880,8106,NA
"7","Refused",2,8108,NA
"9","Don't know",53,8161,NA
".","Missing",0,8161,NA
