"OPDSPPS.Code.or.Value","OPDSPPS.Value.Description","OPDSPPS.Count","OPDSPPS.Cumulative","OPDSPPS.Skip.to.Item"
"0","None",3200,3200,NA
"1","Questionable/incomplete",0,3200,NA
"2","Local",0,3200,NA
"3","Scatter only",13,3213,NA
"4","Scatter + local",1,3214,NA
".","Missing",649,3863,NA
