"WTSPO09.Code.or.Value","WTSPO09.Value.Description","WTSPO09.Count","WTSPO09.Cumulative","WTSPO09.Skip.to.Item"
"0.0000000 to 844663.8087500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
