"WHQ520.Code.or.Value","WHQ520.Value.Description","WHQ520.Count","WHQ520.Cumulative","WHQ520.Skip.to.Item"
"1","Never",484,484,NA
"2","Sometimes",634,1118,NA
"3","A lot",130,1248,NA
"7","Refused",0,1248,NA
"9","Don't know",0,1248,NA
".","Missing",56,1304,NA
