"LBXDFSF.Code.or.Value","LBXDFSF.Value.Description","LBXDFSF.Count","LBXDFSF.Cumulative","LBXDFSF.Skip.to.Item"
"1.1 to 126.6","Range of Values",72,72,NA
".","Missing",1195,1267,NA
