"DUQ370.Code.or.Value","DUQ370.Value.Description","DUQ370.Count","DUQ370.Cumulative","DUQ370.Skip.to.Item"
"1","Yes",106,106,""
"2","No",4042,4148,"DUQ426"
"7","Refused",1,4149,"DUQ426"
"9","Don't know",4,4153,"DUQ426"
".","Missing",419,4572,""
