"WTSBA51.Code.or.Value","WTSBA51.Value.Description","WTSBA51.Count","WTSBA51.Cumulative","WTSBA51.Skip.to.Item"
"0 to 361148.29898","Range of Values",946,946,NA
".","Missing",65,1011,NA
