"LBXSF3SI.Code.or.Value","LBXSF3SI.Value.Description","LBXSF3SI.Count","LBXSF3SI.Cumulative","LBXSF3SI.Skip.to.Item"
"0.141 to 345","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
