"WBXF017.Code.or.Value","WBXF017.Value.Description","WBXF017.Count","WBXF017.Cumulative","WBXF017.Skip.to.Item"
"577.6763 to 577.6763","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
