"AUXRR212.Code.or.Value","AUXRR212.Value.Description","AUXRR212.Count","AUXRR212.Cumulative","AUXRR212.Skip.to.Item"
"-43 to 45","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
