"AUDTYL76.Code.or.Value","AUDTYL76.Value.Description","AUDTYL76.Count","AUDTYL76.Cumulative","AUDTYL76.Skip.to.Item"
"0 to 1.69","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
