"RXQ360Q.Code.or.Value","RXQ360Q.Value.Description","RXQ360Q.Count","RXQ360Q.Cumulative","RXQ360Q.Skip.to.Item"
"5 to 800","Range of Values",698,698,NA
"7777","Refused",0,698,NA
"9999","Don't know",1,699,NA
".","Missing",4544,5243,NA
