"OPDDSDD.Code.or.Value","OPDDSDD.Value.Description","OPDDSDD.Count","OPDDSDD.Cumulative","OPDDSDD.Skip.to.Item"
"0","No",2717,2717,NA
"1","Yes",364,3081,NA
".","Missing",782,3863,NA
