"LBDHDLSI.Code.or.Value","LBDHDLSI.Value.Description","LBDHDLSI.Count","LBDHDLSI.Cumulative","LBDHDLSI.Skip.to.Item"
"0.41 to 4.14","Range of Values",8287,8287,NA
".","Missing",975,9262,NA
