"WTSPP04.Code.or.Value","WTSPP04.Value.Description","WTSPP04.Count","WTSPP04.Cumulative","WTSPP04.Skip.to.Item"
"0 to 829500.5029","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
