"WBXA034.Code.or.Value","WBXA034.Value.Description","WBXA034.Count","WBXA034.Cumulative","WBXA034.Skip.to.Item"
"-6.0611 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
