"RFXT005.Code.or.Value","RFXT005.Value.Description","RFXT005.Count","RFXT005.Cumulative","RFXT005.Skip.to.Item"
"27 to 35","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
