"VIQ180.Code.or.Value","VIQ180.Value.Description","VIQ180.Count","VIQ180.Cumulative","VIQ180.Skip.to.Item"
"1","Yes",98,98,""
"2","No",6409,6507,"VIQ200"
"9","Don't know",20,6527,"VIQ200"
".","Missing",390,6917,""
