"MCQ370d.Code.or.Value","MCQ370d.Value.Description","MCQ370d.Count","MCQ370d.Cumulative","MCQ370d.Skip.to.Item"
"1","Yes",3475,3475,NA
"2","No",2841,6316,NA
"7","Refused",0,6316,NA
"9","Don't know",11,6327,NA
".","Missing",3248,9575,NA
